,xgb1,xgb2,xgb3,xgb4,xgb5,y_test
7953,0,0,0,0,0,1
7318,1,2,1,1,1,2
10194,1,1,1,1,1,1
5891,1,1,1,1,1,1
3485,1,1,1,2,1,2
8000,1,1,1,0,2,1
5743,1,1,1,1,1,2
6607,0,0,0,0,0,0
6639,1,1,1,2,2,1
5906,1,1,1,1,1,2
2073,1,1,1,2,2,1
9535,1,1,1,1,1,2
6352,1,1,1,2,2,1
4022,1,1,1,1,1,1
9962,1,1,1,1,2,2
6365,1,1,1,2,2,1
9386,0,0,0,0,0,0
7880,1,1,2,2,2,1
821,1,1,1,1,1,1
5874,1,1,1,2,2,1
8512,1,1,1,1,1,1
2897,1,1,1,2,2,1
5976,1,1,1,1,1,1
9228,1,1,0,0,0,1
4298,1,1,1,1,1,2
3473,1,1,1,1,1,2
5629,1,1,1,1,1,1
7482,1,1,1,1,2,2
698,0,0,0,0,0,2
9613,1,1,1,2,2,2
3828,1,1,1,1,2,1
6337,1,1,1,1,1,2
2434,0,0,0,0,0,0
1206,0,0,0,0,0,0
2923,1,1,1,1,1,1
3269,1,2,2,2,2,1
1273,1,1,2,2,2,2
2067,1,1,1,1,1,2
8007,1,1,1,1,1,1
100,1,1,1,1,1,1
3335,1,1,1,1,2,1
7567,1,1,0,1,0,1
7761,1,1,1,0,0,1
3942,1,1,1,1,1,1
5670,1,1,1,1,0,1
9738,1,1,1,1,1,1
3637,1,1,1,1,1,1
6041,1,1,1,1,1,1
10290,1,1,1,1,1,1
5057,1,1,1,1,1,1
1654,1,1,1,1,2,1
10012,1,1,1,1,1,1
4711,1,1,1,1,1,2
166,0,0,0,0,0,0
5169,1,1,1,1,1,1
5685,1,1,1,1,2,1
8143,1,2,1,1,2,2
2277,1,1,1,1,1,1
8802,1,1,1,1,2,1
7801,1,1,1,1,1,1
5971,0,0,0,0,0,0
1322,1,1,1,1,1,1
6066,1,1,1,1,1,2
275,1,1,1,2,2,2
6253,1,1,1,1,1,1
2536,1,1,1,1,1,1
8453,1,1,1,1,1,2
8400,1,1,1,1,2,2
8659,1,1,1,1,1,1
8145,1,1,1,1,1,2
5147,1,2,2,1,1,2
2621,1,1,1,2,2,0
5269,1,1,1,1,1,2
9650,0,0,0,0,0,0
2332,1,1,1,1,1,1
6846,1,1,1,1,1,1
2665,1,1,1,1,1,1
3062,1,1,1,0,1,2
625,1,1,1,1,1,1
8371,1,1,1,0,1,0
6613,0,0,0,0,0,0
406,1,1,1,1,2,2
9447,0,0,0,0,0,0
6295,1,1,2,2,2,2
2304,1,1,1,1,1,1
2153,1,1,1,1,1,1
7395,1,1,1,1,1,1
5497,1,1,1,1,1,1
8174,1,1,1,1,2,1
9019,1,1,1,1,1,1
7951,1,1,1,1,1,2
7322,1,1,1,1,1,0
2210,1,1,1,1,2,1
8299,1,1,1,1,1,2
9637,1,1,1,1,1,1
6199,1,1,1,1,1,1
9103,1,1,1,2,2,2
7999,1,1,1,1,1,1
8421,1,1,1,1,1,1
7791,0,0,0,0,0,0
3917,1,1,1,1,1,2
4994,1,1,1,1,2,2
9616,1,2,2,2,2,2
4959,0,0,0,2,2,2
2321,1,1,1,1,1,1
9468,1,1,1,1,1,1
380,1,1,1,1,1,1
5477,1,1,1,1,1,2
6121,1,1,2,2,2,1
1809,1,1,1,2,1,2
2639,1,1,1,2,2,1
8275,0,0,0,2,0,2
4140,1,1,1,1,1,2
6472,1,1,1,1,2,1
6156,1,1,1,2,2,1
9400,1,2,2,2,2,1
9042,1,1,1,1,1,1
3479,1,1,1,1,1,2
1054,1,1,0,0,0,1
8633,1,1,1,1,1,2
3242,1,1,1,1,1,1
7702,1,1,1,1,2,0
10295,1,1,1,1,2,1
5275,1,1,1,1,2,2
10136,1,1,2,1,1,1
6070,1,1,1,1,1,1
8464,0,0,0,0,0,0
8865,1,1,2,2,2,2
7326,1,1,1,1,1,1
6364,0,0,0,2,2,0
9457,1,1,1,1,1,2
8537,1,1,1,2,2,2
10138,0,0,0,0,0,0
2644,1,1,1,1,1,1
2052,0,0,0,0,0,0
3436,1,1,1,1,1,2
9604,1,1,1,1,1,1
4213,1,1,2,2,2,2
7551,1,1,1,2,1,2
239,1,1,1,1,1,1
2716,0,0,0,0,0,0
3288,1,1,1,1,1,1
8278,1,1,2,1,1,1
592,1,1,1,1,1,1
692,1,1,1,1,1,1
9118,1,1,1,1,1,1
7002,1,1,1,2,2,0
2872,1,1,1,1,1,1
990,0,0,0,0,1,1
8373,1,1,1,1,1,1
5210,0,0,0,0,0,0
5935,1,1,1,1,2,1
5957,1,1,1,1,1,0
4817,1,1,1,1,1,2
5156,1,1,1,1,2,1
7931,1,1,2,2,2,2
613,1,1,1,1,2,2
1476,1,1,2,2,2,2
1869,1,1,1,1,1,2
799,1,1,2,2,2,1
6126,1,1,1,1,1,1
7622,1,1,1,2,2,2
6122,1,1,1,1,1,2
6182,1,2,2,2,1,2
8467,1,1,1,1,1,2
10160,1,1,1,1,1,1
3908,1,1,1,1,1,1
4066,1,1,1,1,1,1
8750,1,1,1,1,1,1
1891,1,1,1,1,1,2
6724,0,0,0,0,0,2
8424,1,1,0,1,0,2
3064,1,1,1,1,1,1
9759,1,1,1,1,1,1
1444,1,1,0,0,0,0
2255,1,1,1,1,1,2
9684,1,1,1,1,1,2
7100,1,1,1,1,1,2
3728,1,1,2,2,2,1
7306,1,1,1,1,1,1
5212,1,1,1,1,1,1
7824,0,0,0,0,0,0
7147,1,1,1,1,1,1
3306,1,1,1,1,1,1
7794,1,2,2,1,1,0
8702,1,1,1,2,2,2
6962,1,1,1,1,1,1
298,1,1,1,1,0,1
9947,1,1,1,1,2,1
8389,1,1,0,1,1,1
10149,1,1,1,1,2,1
8295,1,2,2,2,1,1
2406,1,1,1,2,2,2
4373,1,1,1,1,1,1
851,1,1,1,1,1,1
8928,0,0,0,0,0,0
10103,1,1,1,1,1,1
4726,0,0,0,0,0,0
3131,1,1,2,1,1,2
6840,1,1,2,2,2,1
9803,1,1,2,2,2,2
5435,1,1,1,2,2,1
2986,1,1,1,1,1,2
3847,1,1,1,1,1,1
4892,1,1,1,1,2,1
9074,1,1,2,2,2,1
3029,1,1,1,1,1,2
2439,1,1,1,1,1,1
10042,1,1,1,1,1,1
9949,1,1,1,2,2,2
1280,1,1,1,2,2,1
7497,1,1,1,1,1,0
8812,1,1,0,1,1,1
4756,1,1,1,1,1,1
7747,1,1,1,1,1,1
1315,1,1,1,1,1,1
4907,1,1,1,1,2,1
7734,0,0,0,0,0,2
4844,1,1,1,1,1,1
2271,1,1,1,1,1,1
2443,1,1,1,1,1,2
3860,1,1,1,1,1,1
7782,1,1,1,1,2,2
4061,1,1,1,1,2,2
8449,1,1,1,1,1,2
6259,0,0,0,0,0,0
6755,1,1,1,1,1,1
4330,1,1,1,1,2,1
4479,1,1,1,1,1,0
6079,1,1,1,1,1,1
1662,1,1,1,2,2,0
2260,0,0,0,1,1,0
1946,1,2,2,2,2,1
986,1,1,1,1,1,2
6384,1,1,1,1,1,2
513,1,1,1,1,1,1
10212,0,0,0,0,0,2
7916,1,1,1,1,1,1
187,1,1,1,1,1,1
574,1,1,1,1,1,1
6680,1,1,1,1,1,1
6032,1,1,1,2,2,1
7525,1,1,0,0,0,1
3502,1,1,1,1,1,1
3784,1,1,1,1,1,1
10308,1,1,1,1,1,2
9379,1,1,1,1,2,2
3663,2,2,2,2,1,2
927,1,1,1,1,1,1
2097,1,2,2,2,1,2
6995,1,1,1,1,1,1
4750,1,1,1,1,1,2
8406,1,2,1,1,1,2
5577,0,0,0,0,0,0
4860,1,1,1,1,1,2
3115,1,1,2,2,2,2
9398,1,1,1,1,1,1
4228,1,1,1,2,2,2
9847,1,1,1,2,1,1
1720,1,1,1,2,1,1
9402,1,1,1,1,1,0
1137,2,2,2,2,2,2
8748,1,1,1,2,1,1
1232,1,1,1,1,1,2
5613,1,1,1,1,1,1
1262,1,1,1,1,1,2
4697,0,0,0,0,0,0
6538,1,1,2,2,1,1
1814,1,1,1,1,2,2
3125,1,1,1,1,1,2
5330,1,1,1,1,2,1
7866,1,1,1,1,1,1
6987,1,1,1,1,1,1
6395,1,1,1,2,2,1
8738,1,1,1,1,2,1
9149,1,1,1,1,1,1
1041,1,1,1,2,2,2
2915,0,0,0,0,0,0
9284,1,1,1,2,2,1
1383,0,0,0,0,0,1
7465,1,1,1,1,1,2
2292,1,1,1,1,1,1
8619,1,1,2,2,2,2
3111,1,1,1,1,1,1
6976,1,1,1,1,1,2
1768,1,1,1,2,2,2
6072,1,1,1,1,1,1
3278,1,1,2,2,2,2
4308,1,1,1,1,2,1
1752,1,1,1,1,1,1
2789,1,1,1,1,1,1
3989,1,1,1,1,1,1
9668,1,1,1,1,1,1
9135,1,1,2,1,1,1
3858,1,1,0,0,0,1
7955,1,1,1,1,1,1
1370,1,1,1,1,1,1
8200,1,1,1,1,1,2
3699,1,1,1,1,1,1
596,1,1,1,1,1,2
8856,1,1,1,1,1,2
4950,1,1,1,1,1,2
8957,1,1,1,1,1,1
7173,1,1,1,1,1,1
2964,1,2,2,2,2,1
8279,2,2,2,2,2,1
3432,1,1,1,1,1,1
7979,1,1,1,2,2,2
10243,1,1,1,1,1,2
7415,1,1,1,1,1,1
8170,1,1,1,1,1,1
2617,1,1,0,2,2,2
1628,1,1,1,1,1,2
6424,1,1,1,1,1,1
3100,1,1,0,0,0,1
5149,1,1,1,1,1,1
1098,1,1,1,2,2,1
6265,1,1,1,1,1,2
7467,1,1,1,1,1,1
7180,1,1,1,1,1,2
9656,1,1,1,1,1,2
6133,1,1,1,1,1,2
8213,1,1,1,1,1,2
9201,1,1,1,1,1,1
9568,1,1,1,1,1,1
10265,1,1,1,1,1,1
9435,1,1,1,1,1,1
624,1,1,1,1,1,1
3017,0,0,0,0,0,0
46,1,1,1,1,1,1
1556,1,1,1,1,1,2
2350,1,1,1,1,1,1
9414,1,2,2,2,2,2
5161,1,2,2,2,2,2
6728,0,0,0,0,0,0
7046,1,1,1,1,1,2
9990,1,1,1,1,2,1
7084,1,1,1,1,1,1
3674,0,0,0,0,0,0
9799,1,1,1,1,1,2
3704,0,0,0,0,0,0
2056,1,1,1,1,1,1
3292,1,1,1,2,1,1
9449,1,1,2,2,2,1
5829,1,1,1,1,1,2
7508,1,1,1,1,1,2
4296,1,1,1,1,2,1
5278,1,1,1,1,1,1
618,1,1,1,1,2,1
4475,1,1,1,2,2,2
1531,1,2,2,2,2,2
3049,1,1,2,2,2,1
1079,1,1,0,0,0,1
8752,2,2,2,2,2,2
1171,1,1,2,2,1,2
2167,1,1,1,1,2,2
1683,1,1,1,1,1,1
6887,1,1,1,2,1,1
3192,1,1,1,1,1,1
803,1,1,1,1,2,1
8976,1,1,1,2,2,1
2447,1,1,1,1,1,2
10134,1,1,1,1,2,1
3846,1,1,1,1,1,2
5875,1,1,1,1,1,1
4874,1,1,2,2,2,2
9158,1,1,1,1,1,1
8413,1,2,2,2,2,2
508,1,1,0,0,0,0
7362,1,1,1,1,1,1
9600,0,0,0,0,0,0
1650,0,0,0,0,0,2
1660,1,2,2,1,1,1
7073,1,1,1,1,1,1
5802,1,1,1,1,1,1
394,1,1,1,1,1,1
1092,1,1,1,1,1,2
3649,1,1,1,1,1,2
8777,0,0,0,0,0,1
4449,1,1,1,1,1,1
4836,0,0,0,0,0,0
3883,1,1,1,1,1,2
3389,1,1,1,1,1,1
6487,1,1,2,2,2,2
644,0,0,0,0,0,0
2211,1,1,1,1,1,2
3093,1,1,1,1,1,1
6619,1,1,2,2,2,1
8608,1,1,1,2,2,2
9343,1,1,1,1,2,1
2776,1,1,1,1,1,1
9720,1,1,1,1,1,1
7033,1,1,1,1,1,1
4420,0,0,0,0,0,0
216,1,1,1,1,1,1
8743,1,1,2,2,2,0
1154,1,2,2,1,1,1
5072,1,1,1,1,1,2
3477,1,1,1,1,1,1
4136,1,2,2,1,1,2
7215,1,1,1,1,1,1
1521,0,0,0,0,0,1
1868,1,1,1,1,2,1
8547,1,1,2,2,2,2
28,1,1,1,1,1,1
9410,1,1,1,2,2,1
7129,1,1,1,1,1,2
4431,1,1,1,1,2,1
2397,1,1,1,1,1,1
7961,1,1,1,1,1,0
2788,1,1,1,1,1,2
4837,1,1,1,1,1,1
7877,1,1,2,2,2,1
5044,1,1,1,1,1,1
762,1,1,1,1,1,1
7529,1,2,2,2,2,2
2770,1,1,1,1,2,2
6031,1,1,1,1,1,2
5291,1,1,1,1,1,1
5482,0,0,0,0,0,1
4212,1,1,2,1,1,1
2913,1,1,1,1,1,1
5106,1,1,1,1,1,1
8657,1,1,1,1,1,2
4705,1,1,1,1,1,1
6695,1,2,2,2,2,2
1480,1,1,1,1,1,1
3596,1,1,1,2,2,1
3718,1,1,1,1,1,1
8412,1,1,1,1,1,2
2780,1,1,1,1,1,1
139,1,1,1,1,1,1
8415,1,1,1,2,1,1
9597,0,0,0,0,1,0
6636,1,1,1,1,1,1
573,1,1,1,1,1,1
3947,1,1,2,2,2,2
8018,1,1,1,1,1,2
10084,1,1,1,1,2,1
8962,1,1,1,1,2,2
1842,1,1,1,1,1,1
9380,1,1,1,1,1,1
7412,1,1,2,2,2,1
546,1,1,1,1,1,1
1084,1,1,1,1,1,1
4200,1,1,1,2,2,2
2871,0,0,0,0,0,0
2876,1,1,1,1,1,1
5065,1,1,2,1,2,2
4426,1,1,1,1,1,1
8869,1,1,1,1,1,1
7363,1,1,1,1,1,2
3157,1,1,1,1,1,1
430,1,1,1,1,1,1
6262,1,1,1,1,1,2
4422,1,1,1,1,1,1
5414,1,1,1,1,1,1
6503,1,1,1,1,1,1
8672,1,1,1,1,1,1
485,1,1,1,1,1,1
7143,1,1,2,2,2,1
2137,1,1,1,2,2,1
4184,1,1,1,1,1,1
1150,1,1,1,1,1,1
8710,1,1,1,1,1,0
2054,1,1,1,1,1,2
6602,1,1,1,1,2,1
7673,1,1,1,1,1,1
8895,1,1,1,1,1,1
8938,0,0,0,0,0,2
9043,0,0,0,0,0,0
3536,1,1,1,1,1,2
1920,1,1,1,1,1,2
2750,1,1,1,1,1,2
8965,1,1,1,1,1,2
963,1,1,1,1,1,1
8452,1,1,1,1,1,1
390,0,0,0,0,0,2
2527,1,1,1,0,1,2
8332,1,1,2,2,2,1
6912,1,1,1,1,2,2
959,1,1,1,1,1,1
4208,1,1,1,1,1,2
4039,1,1,1,1,1,1
6715,1,1,1,1,1,1
3348,1,1,0,1,1,1
3916,1,1,1,2,2,1
4440,1,1,1,2,2,2
4506,1,1,1,1,1,2
4878,1,1,1,1,1,1
4971,1,1,1,1,1,1
6713,1,1,1,1,1,1
2555,1,1,1,1,1,1
6274,1,1,1,1,1,1
2335,1,1,1,1,1,1
5110,1,1,2,2,2,1
2396,1,1,1,2,2,2
4999,1,1,1,2,2,1
9189,1,1,1,1,1,1
7282,1,1,1,1,2,2
3874,1,1,1,1,1,1
9146,0,0,0,0,1,0
4015,1,1,1,1,1,1
9193,1,1,1,1,1,1
7043,1,1,1,1,1,1
10297,1,1,2,2,2,2
4963,1,1,1,1,2,2
1632,1,1,1,1,1,2
7086,1,1,1,1,1,1
1599,1,1,2,2,2,2
1718,0,0,0,0,0,0
6244,0,0,0,0,0,0
8725,0,0,0,0,0,0
8695,0,0,0,0,0,0
9478,1,1,1,1,1,1
1604,2,2,2,2,2,1
9573,1,1,1,1,1,2
4713,1,1,1,2,2,2
7167,1,1,1,1,1,2
10324,1,1,1,1,1,2
1494,1,1,1,2,2,2
3619,1,1,1,1,1,1
6627,1,1,1,1,2,1
493,1,1,1,1,2,2
8021,1,1,1,1,1,1
9350,1,1,1,1,1,1
2049,1,1,1,1,1,1
7286,1,1,1,1,1,1
1534,1,1,1,1,1,1
2368,1,1,1,1,2,2
6332,1,1,1,1,1,2
7040,1,1,1,1,1,2
5751,1,1,1,2,2,1
6630,1,1,1,1,2,1
4050,0,0,0,0,0,0
6573,1,1,1,1,1,1
1246,1,1,1,1,2,1
8694,0,0,0,0,0,0
2302,0,0,0,0,0,0
1330,1,1,1,1,1,1
8294,1,1,1,1,1,2
966,0,0,0,0,0,0
7533,1,2,2,1,1,2
575,1,1,1,1,1,2
4669,1,1,1,1,0,1
8890,1,1,1,1,2,1
5028,1,1,2,2,2,1
674,1,1,1,1,1,1
2118,1,1,1,1,2,2
2829,1,1,1,1,1,1
7905,1,1,1,1,1,1
452,1,1,1,1,1,1
483,1,1,1,1,1,1
1416,1,1,1,1,1,2
9719,1,1,1,1,1,1
2769,1,1,1,1,1,1
4246,2,2,2,2,2,2
91,1,1,1,1,1,1
8402,0,0,0,0,0,0
4229,1,1,0,0,1,0
6897,1,1,1,2,2,1
3913,1,1,1,1,1,2
10232,1,1,1,1,1,1
5580,0,0,0,0,0,0
9185,1,1,1,1,2,2
5730,1,1,2,2,1,1
9104,1,1,1,1,1,2
6333,1,1,2,2,2,2
9552,1,1,1,2,2,1
6870,1,1,1,1,1,1
7313,1,1,1,1,1,2
7886,1,1,1,1,1,2
8978,1,1,1,1,1,2
3919,1,1,1,1,2,1
7527,1,1,1,2,2,1
5679,1,1,2,2,2,1
3382,1,1,1,1,1,2
10353,1,1,1,1,1,1
5825,1,1,1,1,2,1
3403,1,2,2,2,2,2
3038,1,1,1,1,1,1
4175,1,1,1,1,1,1
2215,1,1,1,1,2,1
7230,1,1,1,1,1,2
7489,1,1,1,1,1,1
8700,1,1,1,1,1,1
10293,1,1,2,2,2,1
2300,0,0,0,0,0,0
10183,1,1,1,1,1,1
4490,0,0,0,0,2,1
10126,1,1,1,1,1,1
2366,1,1,1,1,2,1
3658,1,1,1,1,1,1
9005,1,1,1,1,1,1
6594,1,1,1,1,1,1
2256,1,1,1,1,1,1
4754,1,1,1,1,1,1
9724,1,1,1,1,1,1
6942,1,1,2,1,2,2
4998,1,1,1,1,1,2
6531,1,2,2,2,1,1
1267,1,1,1,1,1,1
49,1,2,2,2,2,2
5735,1,1,1,1,1,2
1351,1,1,1,1,1,0
3077,1,1,1,1,1,1
7468,1,1,1,1,1,2
7957,0,0,0,0,0,0
3096,1,1,1,1,1,1
7728,1,1,1,1,1,2
1005,1,1,1,1,1,1
3606,1,1,1,1,1,0
9664,1,1,1,1,1,1
3231,1,1,1,1,1,1
131,0,0,0,0,0,0
5781,1,1,1,1,1,1
7224,1,1,1,1,1,1
5954,1,1,1,1,1,2
7696,0,0,0,0,0,0
6444,1,1,1,1,1,2
4584,1,1,1,1,1,2
9242,1,2,2,1,1,2
3543,1,1,1,1,2,1
2015,1,1,1,1,1,2
9853,1,1,1,1,1,1
8808,1,1,1,1,1,1
7700,1,1,1,2,2,1
7291,1,1,1,1,1,1
2901,1,1,1,1,1,1
691,1,1,1,1,1,1
377,1,1,1,1,1,1
2810,1,1,1,1,1,1
8703,1,2,2,1,1,1
2011,1,1,2,2,2,1
1897,1,1,1,1,1,1
7466,1,1,2,2,1,2
3903,1,1,1,1,1,1
7183,0,0,0,1,1,0
188,1,1,1,1,1,1
6497,1,1,1,1,1,0
222,1,1,2,2,2,1
5512,1,1,1,2,2,1
2159,1,1,1,2,1,1
4333,1,1,1,1,1,1
6116,2,2,2,2,2,2
4824,1,2,2,2,2,2
9892,1,1,1,2,2,0
5514,1,1,1,1,1,2
8428,1,1,1,1,1,2
6790,1,1,1,1,1,2
9373,1,1,1,1,2,1
10291,1,1,1,1,1,1
5166,1,1,1,0,1,2
3417,1,1,1,1,1,2
2007,1,1,1,1,1,1
4452,1,1,2,2,1,2
1166,1,1,1,2,2,2
4145,1,1,1,1,1,2
4679,0,0,0,2,2,0
4684,1,1,1,1,1,1
3819,1,1,1,1,1,2
7205,1,1,1,2,2,1
5847,1,1,1,1,1,1
1108,1,1,1,1,1,1
4501,1,1,2,1,1,2
8379,0,0,0,0,0,1
3833,0,0,0,0,0,1
74,1,1,1,1,1,1
6758,1,1,0,0,0,1
6586,1,1,1,1,1,1
7726,1,1,1,1,1,1
1350,1,1,1,2,1,2
4793,1,1,1,1,1,0
6933,1,1,1,1,1,1
7669,1,1,1,1,1,1
7725,1,1,1,2,2,1
2586,1,1,1,1,2,2
9011,1,1,1,1,1,2
6574,0,0,0,0,0,0
8405,1,1,2,2,2,2
5216,1,1,1,2,2,1
2850,1,1,1,2,2,1
2774,1,1,1,2,2,2
4768,1,2,2,2,2,2
8783,0,0,0,0,0,0
3274,1,1,1,1,1,2
426,1,1,1,1,1,1
6889,1,1,1,1,1,1
4924,1,1,1,1,1,1
8165,0,0,0,0,1,0
1057,1,1,1,1,1,2
2173,1,1,1,1,1,2
1727,1,1,1,1,1,1
2407,1,1,1,2,1,2
3245,1,1,1,1,1,1
1474,1,1,1,1,1,1
6201,1,1,1,2,2,1
1374,0,0,0,0,0,0
1651,1,1,1,1,1,1
8254,1,2,2,2,2,1
6998,1,1,1,1,1,1
3392,0,0,0,0,0,0
4638,1,1,1,1,1,2
6726,1,1,1,1,1,1
8709,1,1,1,2,1,1
658,1,1,1,1,1,1
795,0,0,0,0,0,0
8893,1,1,1,1,2,2
344,1,1,2,2,2,1
9334,1,1,1,2,1,1
3174,1,1,0,0,0,1
9266,0,0,0,0,0,0
10274,1,1,0,0,0,1
5541,1,1,1,1,1,1
4730,0,0,0,0,1,0
7428,1,2,2,2,1,1
9879,1,1,1,1,1,2
4358,1,1,1,1,1,1
4076,1,1,1,1,2,2
7376,1,1,1,1,2,1
2974,1,1,1,1,1,1
1579,1,1,1,1,1,1
1119,1,1,1,2,2,1
7245,1,1,1,1,2,1
5243,1,1,1,1,1,1
5669,1,1,1,1,1,1
869,1,1,1,1,1,2
9694,1,1,1,1,1,1
5697,2,2,2,1,1,2
7610,1,1,0,1,1,1
6340,1,1,1,1,1,1
5201,1,1,1,1,1,1
6017,1,1,1,1,1,1
476,1,1,1,2,2,1
2642,1,1,1,1,1,1
459,1,1,1,1,1,1
1113,1,1,1,1,1,1
9753,1,1,1,1,1,1
6166,1,1,1,1,1,2
2631,0,0,0,0,0,0
125,1,2,2,2,1,0
1233,0,0,0,0,0,1
8074,1,2,2,2,2,1
822,1,1,1,1,1,1
8175,0,0,0,0,0,0
9178,1,1,1,1,2,2
9733,1,1,2,2,2,1
4641,1,1,2,2,2,1
179,1,1,1,1,1,1
2907,1,2,2,2,2,1
7740,0,0,0,0,0,0
6117,1,1,1,1,1,1
5687,1,1,2,2,2,2
2190,1,1,1,1,1,0
6389,1,1,1,2,2,2
